question,answer,id
What happens if the appellate court grants leave to a near relative to continue the appeal after the death of the appellant?,The appeal shall not abate.,
What will be the status of the appeal if the appellate court grants leave to a near relative to continue the appeal after the death of the appellant?,The appeal shall not abate.,
Who is considered a 'near relative' in the context of this law?,"A 'near relative' means a parent, spouse, lineal descendant, brother or sister.",
"What does the term 'parent, spouse, lineal descendant, brother or sister' refer to in the context of the law?","In the context of the law, 'parent, spouse, lineal descendant, brother or sister' are considered as a 'near relative'.",
"What should a court do when a case it is handling involves a question regarding the validity of any Act, Ordinance or Regulation?","The Court should state a case setting out its opinion and the reasons therefor, and refer it to the High Court.",
"What should a court do when it's handling a case involving the validity of an Act, Ordinance, or Regulation and has formed an opinion with reasons?","The court should state a case setting out its opinion and the reasons therefor, and refer it to the High Court.",
What does the term 'Regulation' refer to according to this text?,"Any Regulation as defined in the General Clauses Act, 1897 (10 of 1897), or in the General Clauses Act of a State.",
Where is the definition of 'Regulation' found as per the provided information?,"The definition of 'Regulation' is found in the General Clauses Act, 1897 (10 of 1897), or in the General Clauses Act of a State.",
What can a Court of Session or a Metropolitan Magistrate do if a case pending before it does not fall under the provisions of sub-section (1)?,They may refer for the decision of the High Court any question of law arising in the hearing of such case.,
What action may a Court of Session or a Metropolitan Magistrate take when a question of law arises in the hearing of a case that does not fall under the provisions of sub-section (1)?,They may refer for the decision of the High Court.,
What can a Court do while waiting for a decision from the High Court according to sub-section (1) or sub-section (2)?,The Court may either commit the accused to jail or release him on bail to appear when called upon.,
What are the two actions a Court can take with an accused individual while waiting for a decision from the High Court according to sub-section (1) or sub-section (2)?,The Court may either commit the accused to jail or release him on bail to appear when called upon.,
What does the High Court do when a question has been referred to it according to section 396?,"The High Court shall pass such order thereon as it thinks fit, and shall cause a copy of such order to be sent to the Court by which the reference was made.",
What happens after a question has been referred to the High Court under section 396?,"The High Court shall pass such order thereon as it thinks fit, and shall cause a copy of such order to be sent to the Court by which the reference was made.",
Who can call for and examine the record of any proceeding before any inferior Criminal Court?,The High Court or any Sessions Judge,
What can The High Court or any Sessions Judge do with the record of any proceeding before any inferior Criminal Court?,They can call for and examine it,
What is the purpose of the High Court or Sessions Judge examining the record of any proceeding before an inferior Criminal Court?,"To satisfy itself/himself; to the correctness, legality or propriety of any finding, sentence or order, recorded or passed, and as to the regularity of any proceedings of such inferior Court",
What does the High Court or Sessions Judge look for when examining the record of any proceeding before an inferior Criminal Court?,"The High Court or Sessions Judge is looking to satisfy itself/himself; to the correctness, legality or propriety of any finding, sentence or order, recorded or passed, and as to the regularity of any proceedings of such inferior Court.",
What can the High Court or Sessions Judge do when calling for the record of any proceeding?,"They may direct that the execution of any sentence or order be suspended, and if the accused is in confinement that he be released on bail or on his own bond pending the examination of the record",
What actions can the High Court or Sessions Judge take when examining the record of any proceeding in regards to the execution of any sentence or order and the confinement of the accused?,"They may direct that the execution of any sentence or order be suspended, and if the accused is in confinement that he be released on bail or on his own bond",
Who is considered to be inferior to the Sessions Judge according to the explanation?,"All Magistrates, whether Executive or Judicial, and whether exercising original or appellate jurisdiction",
"Who, among all Magistrates, whether Executive or Judicial, and whether exercising original or appellate jurisdiction, is considered inferior to the Sessions Judge according to the explanation?",All of them,
Who may direct by whom the costs of such reference shall be paid?,The High Court,
Who has the authority to decide who pays the costs of a reference?,The High Court,
What is the limitation on the powers of revision conferred by sub-section (1) of section 398?,"The powers of revision conferred by sub-section (1) shall not be exercised in relation to any interlocutory order passed in any appeal, inquiry, trial or other proceeding.",
In what type of orders can the powers of revision conferred by sub-section (1) not be exercised?,"The powers of revision conferred by sub-section (1) cannot be exercised in any interlocutory order passed in any appeal, inquiry, trial or other proceeding.",
What is the rule if an application under section 398 is made by any person to the High Court or to the Sessions Judge?,"If an application under this section has been made by any person either to the High Court or to the Sessions Judge, no further application by the same person shall be entertained by the other of them.",
"What happens if the same person makes another application under section 398 to the High Court or to the Sessions Judge, after already making one?",No further application by the same person will be entertained by the other of them.,
What powers does the High Court or the Sessions Judge have under section 398 in regards to inquiry?,"On examining any record under section 397 or otherwise, the High Court or the Sessions Judge may direct the Chief Judicial Magistrate by himself or by any of the Magistrates subordinate to him to make further inquiry into any complaint which has been dismissed under section 203 or sub-section (4) of section 204, or into the case of any person accused of an offence who has been discharged.",
Under what circumstances can the High Court or the Sessions Judge direct the Chief Judicial Magistrate or any of the Magistrates subordinate to him to make further inquiry?,"The High Court or the Sessions Judge can direct the Chief Judicial Magistrate or any of the Magistrates subordinate to him to make further inquiry when examining any record under section 397 or otherwise, into any complaint which has been dismissed under section 203 or sub-section (4) of section 204, or into the case of any person accused of an offence who has been discharged.",
What limitation does section 398 place on the power of the court to order an inquiry?,No Court shall make any direction under this section for inquiry.,
What does the court is not allowed to do under section 398?,The court is not allowed to make any direction for inquiry under section 398.,
What opportunity must be given to a person who has been discharged according to the text?,An opportunity of showing cause why such direction should not be made.,
What should a person discharged be given the opportunity to show cause for?,Why such direction should not be made.,
Under what conditions can the Sessions Judge exercise the powers of the High Court according to section 399?,In the case of any proceeding the record of which has been called for by himself.,
What action must the Sessions Judge take to exercise the powers of the High Court according to section 399?,The Sessions Judge must call for the record of any proceeding.,
What sub-sections of section 401 apply to proceedings commenced before a Sessions Judge under sub-section (1)?,"Sub-sections (2), (3), (4) and (5).",
"To which proceedings commenced before a Sessions Judge under sub-section (1) do sub-sections (2), (3), (4) and (5) of section 401 apply?",They apply to proceedings commenced before a Sessions Judge under sub-section (1).,
How are references to the High Court in the mentioned sub-sections construed when a proceeding is commenced before a Sessions Judge?,They are construed as references to the Sessions Judge.,
What are the references to the High Court in the mentioned sub-sections construed as when a proceeding is commenced before a Sessions Judge?,They are construed as references to the Sessions Judge.,
What is the result of an application for revision made before the Sessions Judge?,The decision of the Sessions Judge thereon in relation to such person shall be final and no further proceeding by way of revision can be made.,
What happens after the Sessions Judge makes a decision regarding an application for revision?,The decision of the Sessions Judge thereon in relation to such person shall be final and no further proceeding by way of revision can be made.,
Who can exercise all the powers of a Sessions Judge under this Chapter?,An Additional Sessions Judge,
Under which chapter does an Additional Sessions Judge have the power to exercise all the powers of a Sessions Judge?,This Chapter,
How can an Additional Sessions Judge get a case transferred to him?,By or under any general or special order of the Sessions Judge,
What is the method for an Additional Sessions Judge to have a case transferred to him?,By or under any general or special order of the Sessions Judge,
What powers can the High Court exercise in the case of any proceeding?,"The powers conferred on a Court of Appeal by sections 386, 389, 390 and 391 or on a Court of Session by section 307",
Which sections confer powers on the High Court in the case of any proceeding?,"Sections 386, 389, 390 and 391 confer powers on a Court of Appeal and section 307 on a Court of Session",
What happens when the Judges composing the Court of Revision are equally divided in opinion?,The case shall be disposed of in the manner provided by section 392,
How is a case disposed of when the Judges composing the Court of Revision are equally divided in opinion?,The case shall be disposed of in the manner provided by section 392,
Can an order under section 401 be made to the prejudice of the accused or other person without giving him an opportunity of being heard?,No,
Is it mandatory to give the accused or other person an opportunity of being heard before making an order under section 401?,Yes,
What does section 3 state about a High Court's authority regarding findings of acquittal?,Section 3 states that nothing in this section shall be deemed to authorise a High Court to convert a finding of acquittal into one conviction.,
What does section 3 state about a High Court's ability to convert a finding of acquittal into one of conviction?,Section 3 states that nothing in this section shall be deemed to authorise a High Court to convert a finding of acquittal into one conviction.,
What happens if an appeal lies under the Code and no appeal is brought according to section 4?,"If an appeal lies under this Code and no appeal is brought, no proceeding by way of revision shall be entertained at the instance of the party who could have appealed.",
What occurs when no proceeding by way of revision is entertained at the instance of the party who could have appealed?,"If no proceeding by way of revision is entertained at the instance of the party who could have appealed, it means that an appeal lies under the Code and no appeal was brought according to section 4.",
What can the High Court do if an application for revision has been made under the erroneous belief that no appeal lies thereto?,"If an application for revision has been made under the erroneous belief that no appeal lies thereto and it is necessary in the interests of justice so to do, the High Court may treat the application for revision as a petition of appeal and deal with the same accordingly.",
"What action may the High Court take when an application for revision is made under the misconception that no appeal can be made, and it is necessary in the interests of justice?",The High Court may treat the application for revision as a petition of appeal and deal with the same accordingly.,
What does section 402 state about the Power of High Court in revision cases?,"Section 402 states that whenever one or more persons convicted at the same trial makes or make application to a High Court for revision and any other person convicted at the same trial makes an application, the High Court can withdraw or transfer revision cases.",
Who can withdraw or transfer revision cases according to section 402 if one or more persons convicted at the same trial make an application to a High Court for revision and any other person convicted at the same trial also makes an application?,The High Court can withdraw or transfer revision cases according to section 402 under these circumstances.,
Who decides the court of final disposal for revision applications?,The High Court,
What entity is responsible for deciding the court of final disposal for revision applications?,The High Court,
What does the High Court do if it decides all the applications for revision should be disposed of by itself?,The High Court directs that the applications for revision pending before the Sessions Judge be transferred to itself.,
What happens when the High Court directs that the applications for revision pending before the Sessions Judge be transferred to itself?,The High Court decides that all the applications for revision should be disposed of by itself.,
What happens when the High Court decides it is not necessary for it to dispose of the applications for revision?,The High Court directs that the applications for revision made to it be transferred to the Sessions Judge.,
"Who does the High Court direct the applications for revision to, when it decides it is not necessary for it to dispose of them?",The High Court directs that the applications for revision be transferred to the Sessions Judge.,
How does the High Court deal with an application for revision transferred to it?,The High Court deals with the application as if it were an application duly made before itself.,
How does the High Court handle an application that was originally made before itself?,The High Court deals with it in the same way as an application for revision transferred to it.,
How does the Sessions Judge deal with an application for revision transferred to it?,The Sessions Judge deals with the application as if it were an application duly made before it.,
How does the Sessions Judge handle an application that was duly made before it?,The Sessions Judge deals with it in the same way as he would deal with an application for revision that was transferred to him.,
What happens when an application for revision is transferred by the High Court to the Sessions Judge?,No further application for revision shall lie to the High Court or to any other Court at the instance of the person or persons whose applications for revision have been disposed of by the Sessions Judge.,
Can a person or persons whose applications for revision have been disposed of by the Sessions Judge apply for further revision to the High Court or any other Court?,"No, when an application for revision is transferred by the High Court to the Sessions Judge, no further application for revision shall lie to the High Court or to any other Court at the instance of the person or persons.",
Does a party have any right to be heard either personally or by pleader before any Court exercising its powers of revision?,"No, no party has any right to be heard either personally or by pleader before any Court exercising its powers of revision; but the Court may, if it thinks fit, when exercising such powers, hear any party either personally or by pleader.",
Can the Court decide to hear any party either personally or by pleader when it is exercising its powers of revision?,"Yes, the Court may, if it thinks fit, when exercising such powers, hear any party either personally or by pleader.",
What can the Metropolitan Magistrate do when the record of any trial held by him is called for by the High Court or Court of Session?,The Magistrate may submit with the record a statement setting forth the grounds of his decision or order and any fact.,
What does the Magistrate do when the record of a trial held by them is requested by the High Court or Court of Session?,The Magistrate may submit with the record a statement setting forth the grounds of his decision or order and any fact.,
What happens when a case is revised by the High Court or a Sessions Judge?,"The High Court or Sessions Judge shall certify its decision or order to the Court by which the finding, sentence or order revised was recorded or passed. The Court to which the decision or order is so certified shall thereupon make such orders as are conformable to the decision so certified, and, if necessary, the record shall be amended in accordance therewith.",
What does the High Court or Sessions Judge do after revising a case and what is the subsequent process followed by the court?,"The High Court or Sessions Judge shall certify its decision or order to the Court by which the finding, sentence or order revised was recorded or passed. The Court to which the decision or order is so certified shall thereupon make such orders as are conformable to the decision so certified, and, if necessary, the record shall be amended in accordance therewith.",
What does Chapter XXXI discuss?,Chapter XXXI discusses the transfer of criminal cases.,
Which chapter discusses the transfer of criminal cases?,Chapter XXXI discusses the transfer of criminal cases.,
What power does the Supreme Court have in terms of transferring cases and appeals?,The Supreme Court has the power to direct that any particular case or appeal be transferred from one High Court to another High Court if it is made to appear to the Supreme Court that an order under this section is expedient for the ends of justice.,
"Under what conditions, and with what justification, does the Supreme Court have the power to transfer a case or appeal from one High Court to another?",The Supreme Court can direct a case or appeal to be transferred from one High Court to another if it appears to the Supreme Court that an order under this section is expedient for the ends of justice.,
What must a court consider before overruling or setting aside a decision or order?,The court must consider any statement of facts which it thinks material to the issue before overruling or setting aside the decision or order.,
What must the court consider from material issues before making a decision to overrule or set aside a decision or order?,The court must consider any statement of facts which it thinks material to the issue before overruling or setting aside the decision or order.,
Under what conditions can the Supreme Court act under this section?,"The Supreme Court may act under this section only on the application of the Attorney-General of India or of a party interested. The application should be made by motion, which shall be supported by affidavit or affirmation, except when the applicant is the Attorney-General of India or the Advocate-General of the State.",
Who can apply for the Supreme Court to act under a certain section and what should the application include?,"The Attorney-General of India or a party interested can apply for the Supreme Court to act under a certain section. The application should be made by motion, supported by affidavit or affirmation, except when the applicant is the Attorney-General of India or the Advocate-General of the State.",
What happens if an application for the exercise of powers conferred by this section is dismissed?,"If an application for the exercise of the powers conferred by this section is dismissed, the Supreme Court may order the applicant to pay compensation to any person who has opposed the application. The sum must not exceed one thousand rupees and the court must consider the circumstances of the case.",
"What may the Supreme Court do if an application for the exercise of powers conferred by a certain section is dismissed, and what limitations are there on any potential compensation ordered?","If an application for the exercise of the powers conferred by this section is dismissed, the Supreme Court may order the applicant to pay compensation to any person who has opposed the application. The sum must not exceed one thousand rupees and the court must consider the circumstances of the case.",
Who has the power to transfer cases and appeals?,The High Court has the power to transfer cases and appeals.,
Who can The High Court transfer?,The High Court can transfer cases and appeals.,
What can happen if a fair and impartial inquiry or trial cannot be had in any Criminal Court subordinate thereto?,"The court may order that any offence be inquired into or tried by any Court not qualified under sections 177 to 185, that any particular case or appeal be transferred from a Criminal Court subordinate to its authority to any other such Criminal Court of equal or superior jurisdiction, that any particular case be committed for trial to a Court of Session, or that any particular case or appeal be transferred to and tried before itself.",
What actions can a court take if a fair and impartial inquiry or trial cannot be had in a Criminal Court subordinate to it?,"The court may order that any offence be inquired into or tried by any Court not qualified under sections 177 to 185, that any particular case or appeal be transferred from a Criminal Court subordinate to its authority to any other such Criminal Court of equal or superior jurisdiction, that any particular case be committed for trial to a Court of Session, or that any particular case or appeal be transferred to and tried before itself.",
What might happen if a question of law of unusual difficulty is likely to arise?,"The court may order that the case be inquired into or tried by a different court, transferred to a court of equal or superior jurisdiction, committed for trial to a Court of Session, or transferred to and tried before itself.",
What actions can a court take if a question of law of unusual difficulty arises in a case?,"The court may order that the case be inquired into or tried by a different court, transferred to a court of equal or superior jurisdiction, committed for trial to a Court of Session, or transferred to and tried before itself.",
"What can the High Court do if an order under this section is required by any provision of this Code, or will tend to the general convenience of the parties or witnesses, or is expedient for the ends of justice?","It may order that any offence be inquired into or tried by any Court not qualified under sections 177 to 185, that any particular case or appeal be transferred from a Criminal Court subordinate to its authority to any other such Criminal Court of equal or superior jurisdiction, that any particular case be committed for trial to a Court of Session, or that any particular case or appeal be transferred to and tried before itself.",
"What actions can the High Court take when an order under the Code is required for the general convenience of parties or witnesses, or for the ends of justice?","The High Court can order that any offence be inquired into or tried by any Court not qualified under sections 177 to 185, transfer any particular case or appeal from a Criminal Court subordinate to its authority to any other such Criminal Court of equal or superior jurisdiction, commit any particular case for trial to a Court of Session, or transfer any particular case or appeal to and tried before itself.",
On what basis can the High Court act?,The High Court may act either on the report of the lower Court.,
What may cause the High Court to act?,The High Court may act on the report of the lower Court.,
What should be done before applying to the High Court for transferring a case from one Criminal Court to another in the same sessions division?,An application for such transfer has to be made to the Sessions Judge and rejected by him.,
Who should reject an application for transferring a case from one Criminal Court to another in the same sessions division before applying to the High Court?,The Sessions Judge should reject the application.,
How should every application for an order under sub-section (1) be made?,"Every application for an order under sub-section (1) should be made by motion, which should be supported by affidavit or affirmation, except when the applicant is the Advocate-General of the State.",
Who should support the motion for an application for an order under sub-section (1) and what is the exception?,"The motion for an application for an order under sub-section (1) should be supported by affidavit or affirmation, except when the applicant is the Advocate-General of the State.",
What may the High Court direct when such application is made by an accused person?,"The High Court may direct the accused person to execute a bond, with or without sureties, for the payment of any compensation which the High Court may award.",
What can the High Court direct an accused person to do when such an application is made?,"The High Court may direct the accused person to execute a bond, with or without sureties, for the payment of any compensation which the High Court may award.",
What should every accused person making such application provide to the Public Prosecutor?,"Every accused person making such application should give to the Public Prosecutor notice in writing of the application, together with a copy of the grounds on which it is made.",
What should an accused person provide to the Public Prosecutor when making an application?,"Every accused person making an application should provide the Public Prosecutor with a written notice of the application, along with a copy of the grounds on which it is made.",
What should be the minimum time elapsed between the notice and the hearing of the application?,At least twenty-four hours,
How long should be the minimum time elapsed between the notice and the hearing of the application according to the rule?,At least twenty-four hours,
"What can the High Court do if it is satisfied that it is necessary in the interest of Justice, when the application is for the transfer of a case?","The High Court may order that, pending the disposal of the application the proceedings in the Subordinate Court shall be stayed, on such terms as the High Court may think fit to impose.",
"What action may the High Court take, pending the disposal of the application, if it deems it necessary in the interest of Justice for a case transfer application?","The High Court may order that the proceedings in the Subordinate Court shall be stayed, on such terms as the High Court may think fit to impose.",
Does the stay affect the Subordinate Court’s power of remand under section 309?,"No, the stay does not affect the Subordinate Court’s power of remand under section 309.",
What is unaffected by the stay in relation to the Subordinate Court's powers under section 309?,The Subordinate Court’s power of remand under section 309 is not affected by the stay.,
What can the High Court do if it thinks the application was frivolous or vexatious?,The High Court may order the applicant to pay by way of compensation to any person who has opposed the application such sum not exceeding one thousand rupees as it may consider proper in the circumstances of the case.,
What may the High Court order if it considers an application to be frivolous or vexatious and someone has opposed it?,The High Court may order the applicant to pay by way of compensation to any person who has opposed the application such sum not exceeding one thousand rupees as it may consider proper in the circumstances of the case.,
What does a Sessions Judge have the power to do under section 408?,"A Sessions Judge has the power to order that any particular case be transferred from one Criminal Court to another Criminal Court in his sessions division, if it is expedient for the ends of justice.",
"Who has the power to order that any particular case be transferred from one Criminal Court to another Criminal Court in his sessions division, if it is expedient for the ends of justice under section 408?",A Sessions Judge has this power.,
On what basis can a Sessions Judge act to transfer cases?,"The Sessions Judge can act either on the report of the lower Court, on the application of a party interested, or on his own initiative.",
Who or what can prompt a Sessions Judge to transfer cases?,"The Sessions Judge can be prompted to transfer cases by the report of the lower Court, the application of a party interested, or on his own initiative.",
What does section 408(1) allow a Sessions Judge to do?,"Section 408(1) allows a Sessions Judge to order that any particular case be transferred from one Criminal Court to another Criminal Court in his sessions division, if it is made to appear to him that such an order is expedient for the ends of justice.",
"Which section of the law grants a Sessions Judge the authority to order a particular case to be transferred from one Criminal Court to another within his sessions division, if it appears to him that such an order is expedient for the ends of justice?",Section 408(1) gives this authority to a Sessions Judge.,
What procedure should be observed in a trial when a case is transferred?,"When a case is transferred for trial, the same procedure should be observed as would have been observed if the case had not been transferred.",
What should be done when a case is transferred for trial in terms of procedure?,"When a case is transferred for trial, the same procedure should be observed as would have been observed if the case had not been transferred.",
What does section 407(9) state?,Section 407(9) states that nothing in this section shall be deemed to affect any order of Government under section 197.,
Which section states that nothing in it shall be deemed to affect any order of Government under section 197?,Section 407(9) states that.,
What is substituted for the phrase 'one thousand rupees' in sub-section (1) of section 407?,two hundred and fifty rupees,
What is the phrase 'two hundred and fifty rupees' substituted for in sub-section (1) of section 407?,one thousand rupees,
What state amendment was made to section 408 of the principal Act?,"In Kerala, the words 'any other Magistrate' were replaced with 'other Magistrate of the first class', and 'any Magistrate' was replaced with 'a Magistrate of the first class'.",
What changes were made to section 408 of the principal Act in Kerala?,"The words 'any other Magistrate' were replaced with 'other Magistrate of the first class', and 'any Magistrate' was replaced with 'a Magistrate of the first class'.",
What powers does a Sessions Judge have according to section 409?,"A Sessions Judge may withdraw any case or appeal from, or recall any case or appeal which he has made over to, any Assistant Sessions Judge or Chief Judicial Magistrate subordinate to him. Additionally, a Sessions Judge may recall any case or appeal which he has made over to any Additional Sessions Judge before the trial of the case or the hearing of the appeal has commenced.",
"Who can a Sessions Judge recall a case or appeal from, according to section 409, and when can this be done?","A Sessions Judge may withdraw any case or appeal from, or recall any case or appeal which he has made over to, any Assistant Sessions Judge or Chief Judicial Magistrate subordinate to him. A Sessions Judge may also recall any case or appeal which he has made over to any Additional Sessions Judge before the trial of the case or the hearing of the appeal has commenced.",
What can a Sessions Judge do if he withdraws or recalls a case or appeal under sub-section (1) or sub-section (2)?,"He may either try the case in his own Court or hear the appeal himself, or make it over in accordance with the provisions of this Code to another Court for trial or hearing.",
What are the options for a Sessions Judge after withdrawing or recalling a case or appeal under sub-section (1) or sub-section (2)?,"He may either try the case in his own Court or hear the appeal himself, or make it over in accordance with the provisions of this Code to another Court for trial or hearing.",
What is the substitution of new section for section 409 in Kerala's state amendment?,"An appeal to the Court of Session or Sessions Judge shall be heard by the Sessions Judge or by an Additional Sessions Judge. An Additional Sessions Judge shall hear only such appeals as the State Government may, by general or special order, direct or as the Sessions Judge of the division may make over to him.",
"Who is responsible for hearing an appeal to the Court of Session or Sessions Judge in Kerala's state amendment replacing section 409, and under what circumstances?","The appeal is heard by the Sessions Judge or an Additional Sessions Judge. An Additional Sessions Judge only hears such appeals as directed by the State Government through general or special order, or as made over to him by the Sessions Judge of the division.",
What can any Chief Judicial Magistrate do according to section 410?,"Any Chief Judicial Magistrate may withdraw any case from, or recall any case.",
What is the action that a Chief Judicial Magistrate is allowed to perform according to section 410?,"A Chief Judicial Magistrate may withdraw any case from, or recall any case.",
Who can recall a case made over by him under sub-section (2) of section 192?,Any Judicial Magistrate,
Who has the authority to recall a case made under sub-section (2) of section 192?,Any Judicial Magistrate,
Who can make over or withdraw cases according to section 411?,Any District Magistrate or Sub- Divisional Magistrate,
"According to section 411, what authority does a District Magistrate or Sub- Divisional Magistrate have?",They can make over or withdraw cases,
What can a District Magistrate or Sub- Divisional Magistrate do according to section 411?,"They can make over, for disposal, any proceeding which has been started before him, to any Magistrate subordinate to him, or withdraw any case from, or recall any case which he has made over to, any Magistrate subordinate to him, and dispose of such proceeding himself or refer it for disposal to any other Magistrate.",
"What powers does a District Magistrate or Sub-Divisional Magistrate have in regards to transferring, withdrawing, recalling, or disposing cases according to the law?","According to section 411, a District Magistrate or Sub-Divisional Magistrate has the power to make over, for disposal, any proceeding which has been started before him, to any Magistrate subordinate to him, or withdraw any case from, or recall any case which he has made over to, any Magistrate subordinate to him, and dispose of such proceeding himself or refer it for disposal to any other Magistrate.",
"Who should record his reasons for making an order under section 408, 409, 410 or 411?",A Sessions Judge or Magistrate,
Under which sections should a Sessions Judge or Magistrate record his reasons for making an order?,"Section 408, 409, 410 or 411",
What can a Magistrate do with a case he has made over to a subordinate?,"He can inquire into or try such case himself, or refer it for inquiry or trial to any other such Magistrate competent to inquire into or try the same.",
What are the actions a Magistrate can take with a case that he has delegated to a subordinate?,"He can inquire into or try such case himself, or refer it for inquiry or trial to any other such Magistrate competent to inquire into or try the same.",
What happens when the Court of Session receives the order of confirmation or other order of the High Court on a sentence of death?,It shall cause such order to be carried into effect by issuing a warrant or taking such other steps as may be necessary.,
What action does the Court of Session take when it receives the order of confirmation or other order of the High Court on a sentence of death?,The Court of Session shall cause such order to be carried into effect by issuing a warrant or taking such other steps as may be necessary.,
What does the Court of Session do when a sentence of death is passed by the High Court in appeal or in revision?,"The Court of Session shall, on receiving the order of the High Court, cause the sentence to be carried into effect by issuing a warrant.",
What action does the Court of Session take upon receiving the order of the High Court when a sentence of death is passed in appeal or in revision?,The Court of Session shall cause the sentence to be carried into effect by issuing a warrant.,
What is the procedure if a person is sentenced to death by the High Court and an appeal from its judgment lies to the Supreme Court?,The execution of the sentence of death is postponed.,
What happens to the execution of a death sentence if an appeal from the High Court's judgment lies to the Supreme Court?,The execution of the sentence of death is postponed.,
What happens according to article 134 of the Constitution if an appeal is preferred?,The High Court shall order the execution of the sentence to be postponed until such appeal is disposed of.,
"Which authority orders the execution of the sentence to be postponed until an appeal is disposed of, according to article 134 of the Constitution?",The High Court,
What does the High Court do if a person sentenced to death makes an application for a certificate under article 132 or 134?,"The High Court shall order the execution of the sentence to be postponed until such application is disposed of by the High Court, or if a certificate is granted on such application, until the period allowed for preferring an appeal to the Supreme Court on such certificate has expired.",
What happens when a person sentenced to death applies for a certificate under article 132 or 134 in the High Court and what happens after the certificate is granted?,"The High Court shall order the execution of the sentence to be postponed until such application is disposed of by the High Court, or if a certificate is granted on such application, until the period allowed for preferring an appeal to the Supreme Court on such certificate has expired.",
What happens if a sentence of death is passed or confirmed by the High Court and the person sentenced intends to present a petition to the Supreme Court?,"The information provided does not fully explain what would happen in this scenario, the text cuts off before it provides an outcome.",
Does the information provided fully explain what happens when a sentence of death is passed or confirmed by the High Court and the person sentenced intends to present a petition to the Supreme Court?,"No, the information provided does not fully explain what would happen in this scenario, the text cuts off before it provides an outcome.",
What happens if a person needs to appeal under article 136 of the Constitution according to the High Court?,The High Court shall order the execution of the sentence to be postponed for such period as it considers sufficient to enable him to present such petition.,
What action does the High Court take if a person appeals under article 136 of the Constitution?,The High Court shall order the execution of the sentence to be postponed for such period as it considers sufficient to enable him to present such petition.,
What does section 416 state about a pregnant woman sentenced to death?,"If a woman sentenced to death is found to be pregnant, the High Court shall commute the sentence to imprisonment for life.",
"What action does the High Court take if a woman sentenced to death is found to be pregnant, according to section 416?",The High Court shall commute the sentence to imprisonment for life.,
Who has the power to appoint the place of imprisonment according to section 417?,"Except when otherwise provided by any law for the time being in force, the State Government may direct in what place any person liable to be imprisoned or committed to custody under this Code shall be confined.",
Under what conditions and who has the authority to direct the confinement location of an individual liable to be imprisoned under the Code?,"Except when otherwise provided by any law for the time being in force, the State Government has the power to direct in what place any person liable to be imprisoned or committed to custody under the Code shall be confined.",
What can happen if a person liable to be imprisoned under this Code is in confinement in a civil jail?,The Court or Magistrate ordering the imprisonment or committal may direct that the person be removed to a criminal jail.,
What may the Court or Magistrate do if a person liable to be imprisoned under this Code is already in confinement in a civil jail?,The Court or Magistrate ordering the imprisonment or committal may direct that the person be removed to a criminal jail.,
What happens when a person is removed to a criminal jail under sub-section (2) of section 417?,The person is confined in the criminal jail.,
Where is a person confined when they are removed to a criminal jail under sub-section (2) of section 417?,The person is confined in the criminal jail.,
What happens if three years have elapsed since a person was moved to the criminal jail?,"He shall be deemed to have been released from the civil jail under section 58 of the Code of Civil Procedure, 1908 or section 23 of the Provincial Insolvency Act, 1920, as the case may be.",
"Under which sections of the Code of Civil Procedure, 1908 or the Provincial Insolvency Act, 1920, would a person be deemed to have been released from the civil jail if three years have elapsed since they were moved to the criminal jail?","A person would be deemed to have been released from the civil jail under section 58 of the Code of Civil Procedure, 1908 or section 23 of the Provincial Insolvency Act, 1920.",
What can the Court certify for a prisoner to be released from the criminal jail?,"The Court can certify that the prisoner is entitled to be released under section 58 of the Code of Civil Procedure, 1908, or under section 23 of the Provincial Insolvency Act, 1920, as the case may be.",
"Under which sections of the Code of Civil Procedure, 1908 and the Provincial Insolvency Act, 1920 can the Court certify a prisoner to be released from jail?","The Court can certify a prisoner to be released under section 58 of the Code of Civil Procedure, 1908 and under section 23 of the Provincial Insolvency Act, 1920.",
What does the court do if the accused is sentenced to imprisonment for life or for a term in cases other than those provided for by section 413?,The Court passing the sentence shall forthwith forward a warrant to the jail or other place in which he is.,
What does the court passing the sentence do immediately after sentencing the accused to imprisonment for life or for a term in cases other than those provided for by section 413?,The Court shall forthwith forward a warrant to the jail or other place in which he is.,
What happens if the accused is already confined in jail or another place?,"If the accused is already confined in such jail or other place, he is not forwarded there again, as per the warrant.",
What happens when the warrant is for an accused who is already confined in a jail or other place?,"If the accused is already confined in such jail or other place, he is not forwarded there again, as per the warrant.",
What happens when the accused is sentenced to imprisonment till the rising of the Court?,"It is not necessary to prepare or forward a warrant to a jail, and the accused may be confined in such place as the Court may direct.",
What is the procedure and location of confinement when an accused is sentenced to imprisonment till the rising of the Court?,"It is not necessary to prepare or forward a warrant to a jail, and the accused may be confined in such place as the Court may direct.",
What happens if the accused is not present in Court when he is sentenced to imprisonment?,The Court shall issue a warrant for his arrest for the purpose of forwarding him to the jail or other place in which he is to be confined; the sentence shall commence on the date of his arrest.,
"What does the Court do if the accused is not present when he is sentenced to imprisonment, and when does his sentence commence?",The Court shall issue a warrant for his arrest for the purpose of forwarding him to the jail or other place in which he is to be confined; the sentence shall commence on the date of his arrest.,
